Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,AVERAGE_POINTS,Dream_11_2024_avg,Weighted_Score,RECENT_FORM
Mitchell Starc,8.5,Bowler,Delhi Capitals,17,105,109,11,0,11.67,96.33027523,41.9047619,39,831,1137,51,22.29,8.21,16.29,45.66667,60.4,57,52.7273349,48.45833
Lokesh Rahul,9,Batter/Wicketkeeper,Delhi Capitals,123,4683,3479,400,187,45.47,134.6076459,58.12513346,0,0,0,0,0,0,0,61.42276,80,65,67.9686972,88.25
Jake Fraser-McGurk,7.5,Batter,Delhi Capitals,9,330,141,32,28,36.67,234.0425532,89.6969697,0,0,0,0,0,0,0,59,24,65,49.47,21.55556
T Natarajan,7.5,Bowler,Delhi Capitals,4,3,5,0,0,0,60,0,61,1337,1969,67,29.39,8.84,19.96,35.19672,0,52,38.477868,0
Karun Nair,7,Batter,Delhi Capitals,68,1496,1171,161,39,23.75,127.7540564,58.68983957,0,0,0,0,0,0,0,36.01471,62.83333,32,43.445246,83.63889
Faf du Plessis,8.5,Batter,Delhi Capitals,138,4571,3352,421,167,35.99,136.3663484,58.76175891,1,6,16,0,0,16,0,53.67391,69.4,50,57.7407377,46.75
Mohit Sharma,7.5,Bowler,Delhi Capitals,31,124,133,8,4,7.29,93.23308271,45.16129032,111,2253,3256,132,24.67,8.67,17.07,39.67568,14.14286,42,32.2718562,13.77778
Ashutosh Sharma,7,Batter,Delhi Capitals,9,189,113,10,15,27,167.2566372,68.78306878,0,0,0,0,0,0,0,46.55556,36,45,42.9411132,31.08333
Sameer Rizvi,6.5,Batter,Delhi Capitals,5,51,43,4,2,12.75,118.6046512,54.90196078,0,0,0,0,0,0,0,30.8,24,21,26.536,32
Mukesh Kumar,7,Bowler,Delhi Capitals,5,10,18,0,0,10,55.55555556,0,20,399,694,24,28.92,10.44,16.63,38.9,41.1,50,42.024,38
Darshan Nalkande,6.5,Bowler,Delhi Capitals,2,12,12,0,1,6,100,50,6,84,148,6,24.67,10.57,14,47.5,0,32,40.475,0
