Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,Dream_11 rounds_Avg,Dream_11_2024_avg,Weighted_Score,RECENT_FORM
Ruturaj Gaikwad,9,Batter,Chennai Super Kings,65,2380,1739,217,91,41.75,136.8602645,59.41176471,0,0,0,0,0,0,0,60.67692308,53.6,63.7,58.955769232,38.06666667
Ravindra Jadeja,8.5,All-rounder,Chennai Super Kings,184,2959,2281,215,107,27.4,129.7238053,50.76039202,211,3829,4864,160,30.4,7.62,23.93,45.40758294,60.75,54.7,53.100533176,53.55555556
Matheesha Pathirana,8.5,Bowler,Chennai Super Kings,0,0,0,0,0,0,0,0,20,451,592,34,17.41,7.88,13.26,58.15,45,74.5,57.635,46.47222222
Shivam Dube,8,Batter,Chennai Super Kings,61,1502,1024,86,101,30.04,146.6796875,63.24900133,14,112,180,5,36,9.64,22.4,42.81967213,56.625,48,48.946618852,54.5
MS Dhoni,7,Batter/Wicketkeeper,Chennai Super Kings,229,5243,3812,363,252,39.13,137.5393494,56.53251955,0,0,0,0,0,0,0,36.49344978,48.625,30.3,39.191129912,51.83333333
Devon Conway,8,Batter/Wicketkeeper,Chennai Super Kings,22,924,654,99,30,48.63,141.2844037,62.33766234,0,0,0,0,0,0,0,75,58,52,63.3,51
Rahul Tripathi,7.5,Batter,Chennai Super Kings,93,2236,1605,223,84,26.94,139.3146417,62.43291592,1,6,12,0,0,12,0,39.86021505,23,45,35.24408602,28.55555556
Rachin Ravindra,8,Batter,Chennai Super Kings,10,222,138,22,12,22.2,160.8695652,72.07207207,2,12,7,0,0,3.5,0,48.2,46,57,49.63,39.61111111
Ravichandran Ashwin,8,All-rounder,Chennai Super Kings,94,800,675,61,28,13.33,118.5185185,51.5,208,4524,5369,180,29.83,7.12,25.13,33.51923077,33.71429,38.5,34.832693808,34.30555556
Khaleel Ahmed,7.5,Bowler,Chennai Super Kings,5,1,7,0,0,0.2,14.28571429,0,57,1276,1881,74,25.42,8.84,17.24,41.56140351,52.625,46,46.543311404,52.61111111
Noor Ahmad,7.5,Bowler,Chennai Super Kings,7,13,18,2,0,3.25,72.22222222,61.53846154,23,492,659,24,27.46,8.04,20.5,34.30434783,58.625,52,47.240489132,54.66666667
Vijay Shankar,6.5,Batter,Chennai Super Kings,60,1115,859,80,45,25.34,129.8020955,52.91479821,22,238,344,9,38.22,8.67,26.44,33.21666667,37.5,24,32.411666668,42.80555556
Sam Curran,7.5,All-rounder,Chennai Super Kings,48,883,647,74,37,25.23,136.4760433,58.66364666,58,1181,1900,58,32.76,9.65,20.36,56.15517241,17,60,43.412068964,19.5
Shaik Rasheed,5,Batter,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,0,16.975,59.25
Anshul Kamboj,6,Bowler,Chennai Super Kings,1,2,2,0,0,0,100,0,3,60,114,2,57,11.4,30,22,52,30,34.5,51.33333333
Dewald Brevis,6,Batter,Chennai Super Kings,10,230,172,17,16,23,133.73,71.3,1,3,8,1,8,0,3,43,40,45,42.45,43
Ayush Mhatre,5,Batter,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,38,40
Mukesh Choudhary,6.5,Bowler,Chennai Super Kings,2,6,6,1,0,6,100,66.66666667,14,279,451,16,28.19,9.7,17.44,37.28571429,23,35,31.714285716,23
Deepak Hooda,7,Batter,Chennai Super Kings,96,1465,1131,96,61,18.31,129.5313882,51.19453925,33,373,531,10,53.1,8.54,37.3,26.40625,9.666667,28,20.94583345,7.9
Gurjapneet Singh,6,Bowler,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Ellis,7,Bowler,Chennai Super Kings,5,19,25,0,1,4.75,76,31.57894737,16,354,508,18,28.22,8.61,19.67,37.5625,43,40,40.075,43
Ramakrishna Ghosh,5.5,All-rounder,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamlesh Nagarkoti,6,Bowler,Chennai Super Kings,7,22,33,1,0,5.5,66.66666667,18.18181818,11,180,285,5,57,9.5,36,16.90909091,0,0,6.763636364,0
Jamie Overton,6.5,All-rounder,Chennai Super Kings,8,50,47,3,1,8.33,106.3829787,36,8,136,186,11,16.91,8.21,12.36,61.875,10.33333,35,37.1166655,12.4
